Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 01:36:01.641,114416.6,0.01,BTCUSDT
2025-09-30 01:36:01.641,114416.6,0.008,BTCUSDT
2025-09-30 01:36:01.641,114416.6,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.6,0.031,BTCUSDT
2025-09-30 01:36:01.641,114416.5,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.5,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.5,0.004,BTCUSDT
2025-09-30 01:36:01.641,114416.5,0.002,BTCUSDT
2025-09-30 01:36:01.641,114416.5,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.5,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.5,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.5,0.069,BTCUSDT
2025-09-30 01:36:01.641,114416.5,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.5,0.003,BTCUSDT
2025-09-30 01:36:01.641,114416.4,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.3,0.018,BTCUSDT
2025-09-30 01:36:01.641,114416.2,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.2,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.2,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.2,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.2,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.2,0.002,BTCUSDT
2025-09-30 01:36:01.641,114416.1,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.1,0.001,BTCUSDT
2025-09-30 01:36:01.641,114416.0,0.233,BTCUSDT
2025-09-30 01:36:01.642,114416.0,0.109,BTCUSDT
2025-09-30 01:36:01.642,114416.0,1.406,BTCUSDT
2025-09-30 01:36:01.642,114416.0,0.05,BTCUSDT
2025-09-30 01:36:01.642,114415.8,0.003,BTCUSDT
2025-09-30 01:36:01.642,114415.3,0.013,BTCUSDT
2025-09-30 01:36:01.642,114415.2,0.001,BTCUSDT
2025-09-30 01:36:01.642,114415.2,0.05,BTCUSDT
2025-09-30 01:36:01.643,114416.0,0.237,BTCUSDT
2025-09-30 01:36:01.643,114416.0,0.386,BTCUSDT
2025-09-30 01:36:01.647,114416.0,0.276,BTCUSDT
